Frame,Timestamp (ms),x,y,Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
393,13133,277,144,12,274.462,134.993,13.8543,19.396,0,267.535,144.691,267.535,125.295,281.39,125.295,281.39,144.691
394,13166,275.479,139.855,12,275.407,134.184,14.3792,20.1309,0,268.217,144.25,268.217,124.119,282.596,124.119,282.596,144.25
395,13200,275.973,138.393,12,276.006,132.036,13.8142,19.3399,0,269.099,141.706,269.099,122.367,282.913,122.367,282.913,141.706
396,13233,277.001,137.036,12,277.042,130.487,13.8953,19.4534,0,270.095,140.214,270.095,120.76,283.99,120.76,283.99,140.214
397,13266,277.792,135.964,12,277.91,129.152,13.8189,19.3465,0,271,138.825,271,119.479,284.819,119.479,284.819,138.825
398,13300,278.615,134.805,12,278.755,128.063,13.8331,19.3663,0,271.838,137.746,271.838,118.38,285.671,118.38,285.671,137.746
399,13333,279,140,12,279.501,126.766,13.7069,19.1897,0,272.648,136.361,272.648,117.172,286.355,117.172,286.355,136.361
400,13366,279.735,138.944,12,280.443,126.316,14.7285,20.6199,0,273.079,136.626,273.079,116.006,287.808,116.006,287.808,136.626
401,13400,280.627,137.196,12,281.295,125.428,14.6106,20.4549,0,273.989,135.655,273.989,115.2,288.6,115.2,288.6,135.655
402,13433,281.185,136.285,12,281.956,124.797,14.7873,20.7022,0,274.562,135.149,274.562,114.446,289.35,114.446,289.35,135.149
403,13466,282.02,134.96,12,282.956,123.796,14.6342,20.4879,0,275.639,134.04,275.639,113.552,290.273,113.552,290.273,134.04
404,13500,283.059,133.781,12,283.907,122.938,14.6307,20.4829,0,276.592,133.179,276.592,112.696,291.222,112.696,291.222,133.179
405,13533,283.838,132.658,12,284.858,121.906,14.5113,20.3158,0,277.602,132.064,277.602,111.748,292.114,111.748,292.114,132.064
